algorithm,dataset,timing,training_time,prediction_time
TARSItemKNNDing,cosmeticsshop,27.69624400138855,19.919761896133423,7.776482105255127
TARSItemKNNLee_W5,cosmeticsshop,147.6055417060852,136.47987008094788,11.125671625137329
TARSItemKNNLiu,cosmeticsshop,21.363593578338623,13.32215428352356,8.041439294815063
TARSItemKNNLiu2012,cosmeticsshop,29.788068056106567,18.625592470169067,11.1624755859375
TARSItemKNNVaz,cosmeticsshop,29.68402624130249,17.26879048347473,12.415235757827759
ItemKNN,cosmeticsshop,24.392364025115967,14.299557209014893,10.092806816101074
SequentialRules,cosmeticsshop,369.33006715774536,365.17673349380493,4.15333366394043
TARSItemKNN,cosmeticsshop,21.861940622329712,13.768658876419067,8.093281745910645
TARSItemKNNHermann,cosmeticsshop,5387.212340831757,5371.337399721146,15.874941110610962
TARSItemKNNXia,cosmeticsshop,1986.3260388374329,1975.719128370285,10.606910467147827
TARSItemKNNDing,adressa,6.778382062911987,1.997314453125,4.781067609786987
TARSItemKNNLee_W5,adressa,57.90580868721008,54.88084816932678,3.024960517883301
TARSItemKNNLiu,adressa,8.656723976135254,1.6583337783813477,6.998390197753906
TARSItemKNNLiu2012,adressa,5.380650997161865,2.15461802482605,3.2260329723358154
TARSItemKNNVaz,adressa,7.818758487701416,1.7727134227752686,6.0460450649261475
EASE,adressa,19.206252098083496,2.2481110095977783,16.958141088485718
ItemKNN,adressa,3.402968406677246,0.7890841960906982,2.613884210586548
SequentialRules,adressa,109.23686671257019,106.76015543937683,2.4767112731933594
TARSItemKNN,adressa,7.251075267791748,1.6532936096191406,5.597781658172607
TARSItemKNNHermann,adressa,250.34438824653625,243.1977241039276,7.146664142608643
TARSItemKNNXia,adressa,101.10939693450928,98.22808074951172,2.8813161849975586
TARSItemKNNDing,recsys2015,19.22869300842285,16.749494791030884,2.4791982173919678
TARSItemKNNLee_W5,recsys2015,415.1817874908447,412.5621852874756,2.6196022033691406
TARSItemKNNLiu,recsys2015,17.085269451141357,14.678142547607422,2.4071269035339355
TARSItemKNNLiu2012,recsys2015,22.760499000549316,20.176480770111084,2.5840182304382324
TARSItemKNNVaz,recsys2015,19.167958736419678,16.66944169998169,2.4985170364379883
ItemKNN,recsys2015,11.92758822441101,9.445399522781372,2.4821887016296387
SequentialRules,recsys2015,1040.5843980312347,1028.8016045093536,11.782793521881104
TARSItemKNN,recsys2015,17.151286840438843,14.766362428665161,2.3849244117736816
TARSItemKNNHermann,recsys2015,20735.260189533234,20727.512082099915,7.748107433319092
TARSItemKNNXia,recsys2015,8567.313997030258,8556.436522960663,10.877474069595337
TARSItemKNNDing,amazon_games,2.3991494178771973,2.133803129196167,0.2653462886810303
TARSItemKNNLee_W5,amazon_games,11.388818264007568,10.987138509750366,0.40167975425720215
TARSItemKNNLiu,amazon_games,0.5672235488891602,0.46060729026794434,0.10661625862121582
TARSItemKNNLiu2012,amazon_games,2.6094412803649902,2.2098796367645264,0.39956164360046387
TARSItemKNNVaz,amazon_games,0.861525297164917,0.6716480255126953,0.18987727165222168
EASE,amazon_games,215.14980220794678,199.78584170341492,15.36396050453186
ItemKNN,amazon_games,2.467877149581909,2.0771334171295166,0.3907437324523926
SequentialRules,amazon_games,18.073471784591675,17.772793292999268,0.3006784915924072
TARSItemKNN,amazon_games,0.5558137893676758,0.45682477951049805,0.09898900985717773
TARSItemKNNHermann,amazon_games,303.61671233177185,303.2043583393097,0.4123539924621582
TARSItemKNNXia,amazon_games,129.7383062839508,129.36191844940186,0.3763878345489502
TARSItemKNNDing,amazon_toys_and_games,10.443710565567017,9.113646507263184,1.330064058303833
TARSItemKNNLee_W5,amazon_toys_and_games,47.89975023269653,45.18415069580078,2.715599536895752
TARSItemKNNLiu,amazon_toys_and_games,2.7411606311798096,2.319044828414917,0.4221158027648926
TARSItemKNNLiu2012,amazon_toys_and_games,12.29259181022644,9.660569429397583,2.6320223808288574
TARSItemKNNVaz,amazon_toys_and_games,5.719248294830322,4.328770160675049,1.3904781341552734
ItemKNN,amazon_toys_and_games,12.815129518508911,8.65741753578186,4.157711982727051
SequentialRules,amazon_toys_and_games,103.62271881103516,102.26096510887146,1.3617537021636963
TARSItemKNN,amazon_toys_and_games,2.7054495811462402,2.272310733795166,0.4331388473510742
TARSItemKNNHermann,amazon_toys_and_games,5177.927972316742,5174.263821601868,3.6641507148742676
TARSItemKNNXia,amazon_toys_and_games,2037.1293592453003,2034.4813458919525,2.6480133533477783
